"Krajums","Pamatforma","Pamatkrasa","Vardforma","Locijums","Piemers"
"DzL","balts","white","baltā","FDSV","{\bf Baltā} māt, veļu māt,\textbackslash{} Mazgā baltu paladziņu\textbackslash{} Jau ganās mani zirgi\textbackslash{} Viņas saules pļaviņā\\"
"DzL","balts","white","baltā","FDSV","{\bf Baltā} māt, veļu māt,\textbackslash{} Ņem mani savā daļā,\textbackslash{} Tur jau īd manas govis\textbackslash{} Neganītas, neizslauktas\\"
"DzL","balts","white","baltā","FDSV","{\bf Baltā} māt, veļu māt,\textbackslash{} Aizver man acu vārtus,\textbackslash{} Kad atnācu, tad atvēru,\textbackslash{} Nu ir reize aizdarīt\\"
"DzL","balts","white","baltā","FDSV","Mana {\bf baltā} un mierīgā māt,\textbackslash{} Es tev zilganu asteri atnesu.\textbackslash{} Ir pie Kalnciema lielceļa dārzs\\"
"DzL","balts","white","baltā","FDSV","Mana {\bf baltā} un mierīgā māt,\textbackslash{} Drīz jau leduspuķes vien ziedēs te,\textbackslash{} Es tās ņemšu un nesīšu tev\\"
"DzL","balts","white","baltu","MISA","Baltā māt, veļu māt,\textbackslash{} Mazgā {\bf baltu} paladziņu\textbackslash{} Jau ganās mani zirgi\textbackslash{} Viņas saules pļaviņā\\"
"DzL","balts","white","balti","MIPN","Drīz būs zili, zili ūdeņi,\textbackslash{} Drīz būs {\bf balti}, {\bf balti} pūpoli,\textbackslash{} Drīz es beigšu sevi mierināt\\"
"DzL","balts","white","balti","MIPN","Rūciet, kamēr vēl nav zili ūdeņi,\textbackslash{} Rūciet, kamēr vēl nav {\bf balti} pūpoli\\"
"DzL","balts","white","baltu","MIPG","Gaujas balss ilgi meklēts un saukts,\textbackslash{} {\bf Baltu} mākoņu kupenās jaukts,\textbackslash{} Ziedu sildīts un viesuļu nests\\"
"DzL","balts","white","baltiem","MIPD","Ceļi kūp.\textbackslash{} Ar {\bf baltiem}, {\bf baltiem} dūmiem ceļi kūp.\textbackslash{} Uz galda ceļamaizes rieciens drūp\\"
"DzL","balts","white","balto","MDSA","Kā sev no atmiņas un acīm izsviest\textbackslash{} To {\bf balto}, sarmas mež\v{g}īņoto rītu\textbackslash{} Un melno kara hospitāļa bedri\\"
"DzL","balts","white","visbaltāko","MDSA","Pāri man\textbackslash{} Ar {\bf visbaltāko} baltumu\textbackslash{} Debess jūra\textbackslash{} Savas bangotnes putotos mākoņus nes\\"
"DzL","balts","white","baltais","MDSV","Es tev piegāju klāt,\textbackslash{} {\bf Baltais} brīnum,\textbackslash{} Un redzēju,\textbackslash{} Ka bises tu esi saskaitījusi\\"
"DzL","balts","white","baltie","MDPN","Tikai pēc tam lietus varēja līt vai nelīt ---\textbackslash{} Mani interesēja tikai zibeņu {\bf baltie} raksti\\"
"DzL","balts","white","baltie","MDPN","Pland matu {\bf baltie} lini,\textbackslash{} Iet meitene iekš mini\textbackslash{} Un modri skatās apkārt\\"
"DzL","baltums","white","baltums","noun","Bet vectēvam pašam\textbackslash{} Gar deniņiem {\bf baltums}\textbackslash{} Un rokas uz spieķa\textbackslash{} Kā puķes pēc salnas\\"
"DzL","baltums","white","baltumu","noun","Pāri man\textbackslash{} Ar visbaltāko {\bf baltumu}\textbackslash{} Debess jūra\textbackslash{} Savas bangotnes putotos mākoņus nes\\"
"DzL","sarkans","red","sarkanai","FISD","Un nekas, ja jūs saskrambās zari,\textbackslash{} Nolīs pa {\bf sarkanai} lāsei...\textbackslash{} Toties jūs zināsit\\"
"DzL","sarkans","red","sarkanu","FISA","Ja manam vectēvam būtu pietrūcis\textbackslash{} Tavu\textbackslash{} Ar {\bf sarkanu} uguni degošu skalu\\"
"DzL","sarkans","red","sarkanām","FIPD","Kad uzspīdēs saule,\textbackslash{} Asaras nožūs\textbackslash{} No bērzu zeltaini smalkām\textbackslash{} Un apšu {\bf sarkanām} notīm\\"
"DzL","sarkans","red","sarkanām","FIPD","Pāri sirds malām kūsās ---\textbackslash{} Un uz tepiķa gulēs\textbackslash{} Runcis ar {\bf sarkanām} ūsām\\"
"DzL","sarkans","red","sarkans","MISN","Gan kaut kas {\bf sarkans}, notraipīts ar brūnu,\textbackslash{} Gan brūns ar sarkanu. Un viena kāja\\"
"DzL","sarkans","red","sarkanu","MISA","Gan kaut kas sarkans, notraipīts ar brūnu,\textbackslash{} Gan brūns ar {\bf sarkanu}. Un viena kāja\\"
"DzL","sarkans","red","sarkanie","MDPN","Kuras stacijām jāpieņem\textbackslash{} Straujie un {\bf sarkanie} asiņu vilcieni\\"
"DzL","sarkani","red","sarkani","adv","Liku tā kā pie nepazīstama suņa purna,\textbackslash{} Kā pie {\bf sarkani} sakurinātas plīts\\"
"DzL","sarkt","red","sarkstiet","verb","{\bf Sarkstiet},\textbackslash{} Lai zin, kādā krāsā\textbackslash{} Pēc tam\textbackslash{} Degt jūsu mājām\\"
"DzL","zaļš","green","zaļas","FISG","Te beidzās viena no ieliņām,\textbackslash{} Un te es atradu šķiltavas\textbackslash{} No {\bf zaļas}  čaulītes\\"
"DzL","tumšzaļš","green","tumšzaļas","FISG","Šajos ceriņos rīt ziedi būs ---\textbackslash{} Mēļas liesmas no {\bf tumšzaļas} pekles\\"
"DzL","zaļš","green","zaļas","FIPN","Paskaties palmā pār viņiem ---\textbackslash{} Palmas lapas kā {\bf zaļas} rokas ar izplestiem pirkstiem\\"
"DzL","zaļš","green","zaļās","FIPL","Un es šūpojos šinīs bizēs,\textbackslash{} Gan tumšās un {\bf zaļās}, gan ziedošās un sirmās\\"
"DzL","zaļš","green","zaļajā","FDSL","Pēc tam bija krusa.\textbackslash{} Tā krita patvertnes uzbēruma {\bf zaļajā} zālē,\textbackslash{} Ripoja lejup pa Doma zaļgano jumtu\\"
"DzL","zaļgans","green","zaļgans","MISN","Un, ka vasarā birzī no četrām pusēm\textbackslash{} Mūs sargāja {\bf zaļgans} un caurspīdīgs aizkars,\textbackslash{} Atceries\\"
"DzL","zaļš","green","zaļi","MIPN","Un pirmā latviešu elektrība,\textbackslash{} Un {\bf zaļi} mati\textbackslash{} Uz kāpu skausta\\"
"DzL","zaļgans","green","zaļgani","MIPN","Tad iešalcas meža skaņa,\textbackslash{} Pa gravām kāpelē\textbackslash{} {\bf Zaļgani} paegļu vīriņi\\"
"DzL","zaļgans","green","zaļganais","MDSN","Baznīcu torņu {\bf zaļganais} pelējums\textbackslash{} Un jauno kvartālu\textbackslash{} Augšanas untums\\"
"DzL","zaļgans","green","zaļgano","MDSA","Pēc tam bija krusa.\textbackslash{} Tā krita patvertnes uzbēruma {\bf zaļajā} zālē,\textbackslash{} Ripoja lejup pa Doma {\bf zaļgano} jumtu\\"
"DzL","zaļgans","green","zaļgano","MDSA","Mašīnu jūklis.\textbackslash{} Reklāmas uguns.\textbackslash{} Taksometru pietura.\textbackslash{} Tas ar pelēko, tas ar {\bf zaļgano} mēteli\\"
"DzL","apzaļot","green","apzaļojuša","part","Nenosēdēt\textbackslash{} Pat uz paša mīkstākā\textbackslash{} Ar sūnu {\bf apzaļojuša} akmens\\"
"DzL","zils","blue","zila","FISN","Stāmerienas muižas liesmās\textbackslash{} Baltā bārda rūsga svila,\textbackslash{} Vēl no Piektā gada dūmiem\textbackslash{} Gadu pamale ir {\bf zila}\\"
"DzL","zils","blue","zila","FISN","Jo lāse ir viršu {\bf zila}.\textbackslash{} Aiz prieka par sauli\textbackslash{} Tos vēji ir sajaukuši\\"
"DzL","zils","blue","zila","FISN","Kur tikko redzami pulsē\textbackslash{} {\bf Zila} bērnība tava,\textbackslash{} Sārta jaunība tava\textbackslash{} Un zils vakars tavs\\"
"DzL","zils","blue","zila","FISN","Tikai āboli krīt\textbackslash{} Rudens rasainā zālē.\textbackslash{} Rasa {\bf zila} kā tāle,\textbackslash{} Kurp tu aizbrauksi rīt\\"
"DzL","zils","blue","zilu","FISA","{\bf Zilu} velvi pār galvu es esmu saņēmis,\textbackslash{} Steigā dunošu zemi\textbackslash{} Tēvs un vectēvs zem kājām man nolicis\\"
"DzL","zilgans","blue","zilganu","FISA","Mana baltā un mierīgā māt,\textbackslash{} Es tev {\bf zilganu} asteri atnesu.\textbackslash{} Ir pie Kalnciema lielceļa dārzs\\"
"DzL","zils","blue","zilā","FISL","Kvēlos liesmā un plaiksnīsies sārts\textbackslash{} {\bf Zilā} debesu sejā mums pāri\\"
"DzL","zils","blue","zilu","FIPG","Nakti, kurā it kā miljons mieru,\textbackslash{} Miljons {\bf zilu} zvaigžņu pārī spīd\\"
"DzL","zilgans","blue","zilganu","FIPG","Es neprotot laist ziepju burbuļu krāsainās domas pie kafijas tases un {\bf zilganu} actiņu bezdibens tukšumā\\"
"DzL","zilacains","blue","zilacaino","FDSA","Un skaisto, {\bf zilacaino} netikli rudzupuķi,\textbackslash{} Uz kuru rudeņos visas vārpas sāk skatīties,\textbackslash{} Atceries\\"
"DzL","zils","blue","zilās","FDPN","Paegļu {\bf zilās},\textbackslash{} Apsūbējušās ogas,\textbackslash{} Kaut arī tās\textbackslash{} Ne reizi nav runājušās ar zemenēm\\"
"DzL","zils","blue","zils","MISN","Krūtīs sāpēs kāds aromāts {\bf zils},\textbackslash{} Un viens atlidos, un otrs atbrauks\\"
"DzL","zils","blue","zils","MISN","Kur tikko redzami pulsē\textbackslash{} Zila bērnība tava,\textbackslash{} Sārta jaunība tava\textbackslash{} Un {\bf zils} vakars tavs\\"
"DzL","zils","blue","zili","MIPN","Drīz būs {\bf zili}, {\bf zili} ūdeņi,\textbackslash{} Drīz būs balti, balti pūpoli\textbackslash{} Drīz es beigšu sevi mierināt\\"
"DzL","zils","blue","zili","MIPN","Rūciet, kamēr vēl nav {\bf zili} ūdeņi,\textbackslash{} Rūciet, kamēr vēl nav balti pūpoli\\"
"DzL","zils","blue","zili","MIPN","Kas par miežiem!\textbackslash{} Mieži --- tie ir tur ---\textbackslash{} Aiz tiem zilgiem torņiem\textbackslash{} {\bf Zili} meži\\"
"DzL","zils","blue","ziliem","MIPD","Aiz tiem {\bf ziliem} mežiem\textbackslash{} Tāli lauki,\textbackslash{} Tur, tur --- akotu pie akota\textbackslash{} Iļ\v{g}uciema alus mieži aug\\"
"DzL","zilgs","blue","zilgiem","MIPD","Kas par miežiem!\textbackslash{} Mieži --- tie ir tur ---\textbackslash{} Aiz tiem {\bf zilgiem} torņiem\textbackslash{} Zili meži\\"
"DzL","zils","blue","zilais","MDSN","Jauno dienu {\bf zilais} asmens nodila.\textbackslash{} Večuks tirgojās ar cirvja kātiem\\"
"DzL","zilums","blue","ziluma","noun","Krītiet, mani bērni,\textbackslash{} Es papūtīšu uz {\bf ziluma} ---\textbackslash{} Tā nav nemaz tik briesmīga krāsa\\"
"DzL","rūsgs","orange","rūsga","FISN","Stāmerienas muižas liesmās\textbackslash{} Baltā bārda {\bf rūsga} svila,\textbackslash{} Vēl no Piektā gada dūmiem\textbackslash{} Gadu pamale ir zila\\"
"DzL","ruds","orange","rudai","FISD","Nenomest ziemas glābjošo\textbackslash{} Balto spalvu\textbackslash{} Un nekļūt {\bf rudai}\\"
"DzL","ruds","orange","rudā","FDSN","Viņš nomirs, jo liesmā {\bf rudā}\textbackslash{} Jauns sprādziens ar zemi to sakausēs\\"
"DzL","dzeltens","yellow","dzeltena","FISN","Vai tev ir viena {\bf dzeltena} lapu kaudze\textbackslash{} Priekš diviem blandoņām\\"
"DzL","dzeltens","yellow","dzeltenas","FISG","Bet ne velti pats gadsimts\textbackslash{} Kliedz pēc māla un koka\textbackslash{} Un pēc vienas {\bf dzeltenas}\textbackslash{} Bērzu ataudzes\\"
"DzL","dzeltens","yellow","dzeltenas","FIPA","Šķir vēsture vecas {\bf dzeltenas} lapas\textbackslash{} Un ierauga\textbackslash{} Kardinālu\\"
"DzL","dzeltenīgs","yellow","dzeltenīgs","MISN","Bet tagad līst lietus.\textbackslash{} Līst {\bf dzeltenīgs} lieplapu lietus.\textbackslash{} Par ko tu domā\textbackslash{} Šai pelēkā, pelēkā lietū\\"
"DzL","dzeltens","yellow","dzeltenu","MIPG","{\bf Dzeltenu} kļavziedu pilni mati,\textbackslash{} Un bites pinas kā trakas,\textbackslash{} Un pirmie negaisi danco apkārt\textbackslash{} Kā līgavai\\"
"DzL","zeltaini","yellow","zeltaini","adv","Kad uzspīdēs saule,\textbackslash{} Asaras nožūs\textbackslash{} No bērzu {\bf zeltaini} smalkām\textbackslash{} Un apšu sarkanām notīm\\"
"DzL","sārts","pink","sārta","FISN","Kur tikko redzami pulsē\textbackslash{} Zila bērnība tava,\textbackslash{} {\bf Sārta} jaunība tava\textbackslash{} Un zils vakars tavs\\"
"DzL","rozā","pink","rozā","FISN","Tā nav nemaz tik briesmīga krāsa.\textbackslash{} Briesmīga ir tā {\bf rozā}\textbackslash{} Uz taukiem purniem\\"
"DzL","brūns","brown","brūns","MISN","Gan kaut kas sarkans, notraipīts ar brūnu,\textbackslash{} Gan {\bf brūns} ar sarkanu. Un viena kāja\\"
"DzL","brūns","brown","brūnu","MISA","Tos ķeizarkroņus,\textbackslash{} Kurus es ostīju kādreiz\textbackslash{} Un nosmērēju sev degunu {\bf brūnu}\textbackslash{} Ar putekšņiem\\"
"DzL","brūns","brown","brūnu","MISA","Gan kaut kas sarkans, notraipīts ar {\bf brūnu},\textbackslash{} Gan brūns ar sarkanu. Un viena kāja\\"
"DzL","brūns","brown","brūnu","MISA","Mirguļo kupenas,\textbackslash{} Un upēs ir daudz ūdens.\textbackslash{} Lieli ku\v{g}i var peldēt\textbackslash{} Pa tādu dziļu un {\bf brūnu} ūdeni\\"
"DzL","brūni","brown","brūni","adv","Džimlairūdi, puto {\bf brūni}\textbackslash{} Sveša alus stops,\textbackslash{} Spārdās svešas zemes šķūnī\textbackslash{} Svešas zemes lops\\"
"DzL","pelēks","lightgray","pelēkas","FIPN","Es redzēju, kā krita dzērves,\textbackslash{} Kā sniga līdz pašam tālākam mežam\textbackslash{} {\bf Pelēkas} pārslas\\"
"DzL","pelēks","lightgray","pelēku","FIPG","Ap manu bērnību apkārt ir apkritis\textbackslash{} {\bf Pelēku} lapu pelēks laprkitis\\"
"DzL","pelēks","lightgray","pelēkās","FDSG","Atbalss, bet paskaties apkārt,\textbackslash{} Vai tu redzi {\bf pelēkās} ikdienas pīķus,\textbackslash{} Ikdienas rūpju trulos asmeņus\\"
"DzL","pelēks","lightgray","pelēkās","FDPN","Pār visiem, kas krita,\textbackslash{} Dzērvju {\bf pelēkās} spalvas krita\\"
"DzL","pelēks","lightgray","pelēks","MISN","Ap manu bērnību apkārt ir apkritis\textbackslash{} Pelēku lapu {\bf pelēks} laprkitis\\"
"DzL","pelēks","lightgray","pelēks","MISN","Katrā solī, ko tālāk tu liec,\textbackslash{} {\bf Pelēks}, silts, samīts zaķītis kliedz.\textbackslash{} Tā jau nav kāda varena balss\\"
"DzL","pelēks","lightgray","pelēks","MISN","Bet tikai, uz darbu ejot,\textbackslash{} Vēss, {\bf pelēks} vējš,\textbackslash{} Spuldžu zvaigznes\textbackslash{} Un kvartālu dzirkstošie mākoņi\textbackslash{} Man palīdzēja\\"
"DzL","pelēks","lightgray","pelēkā","MISL","Ko tu domā šai {\bf pelēkā}, {\bf pelēkā} lietū,\textbackslash{} Mana dzimtā un bezgala tālā puse\\"
"DzL","pelēks","lightgray","pelēkā","MISL","Manai dzimtajai pusei\textbackslash{} {\bf Pelēkā} lietū ir auksti\\"
"DzL","pelēks","lightgray","pelēkā","MISL","Bet tagad līst lietus.\textbackslash{} Līst dzeltenīgs lieplapu lietus.\textbackslash{} Par ko tu domā\textbackslash{} Šai {\bf pelēkā}, {\bf pelēkā} lietū\\"
"DzL","pelēks","lightgray","pelēki","MIPN","Pār krūmu, kurš mani slēpa,\textbackslash{} Krita {\bf pelēki} sniegi,\textbackslash{} Pār vāgūzi krita,\textbackslash{} Pār kaķa raibajiem sāniem\\"
"DzL","pelēks","lightgray","pelēko","MDSA","Mašīnu jūklis.\textbackslash{} Reklāmas uguns.\textbackslash{} Taksometru pietura.\textbackslash{} Tas ar {\bf pelēko}, tas ar zaļgano mēteli\\"
"DzL","pelēks","lightgray","pelēko","MDSA","Es pats redzēju,\textbackslash{} Kā tu baroji\textbackslash{} Tur to {\bf pelēko} kaķi,\textbackslash{} Kas pieder visiem\\"
"DzL","raibs","multicolored","raibā","FISL","Es ķeros koku zaros\textbackslash{} Un {\bf raibā} šlipsē karos,\textbackslash{} Un izveļos no gultas,\textbackslash{} Un tūlīt mostos ar\\"
"DzL","raibs","multicolored","raibajā","FDSL","Lai blakus karājošies\textbackslash{} Ar mīlīgu smaidu\textbackslash{} Neietriec dunci tā {\bf raibajā} mugurā\\"
"DzL","raibs","multicolored","raibajiem","MDPD","Pār vāgūzi krita,\textbackslash{} Pār kaķa {\bf raibajiem} sāniem,\textbackslash{} Pār visiem, kas krita\\[10px]"
