"ListNo","ShortName","CandNo","CandName","Pluses","Minuses"
1,"LKS",1,"Jevgeņija Krjukova",2778,145
1,"LKS",2,"Aleksandrs Ļivčaks",1594,168
1,"LKS",3,"Aleksejs Vasiļjevs",2118,134
1,"LKS",4,"Anita Daukšte",1185,200
1,"LKS",5,"Andrejs Smirnovs",1390,141
1,"LKS",6,"Dmitrijs Ribņikovs",1195,162
1,"LKS",7,"Polina Kamļova",1028,152
1,"LKS",8,"Valērijs Petrovs",1200,154
1,"LKS",9,"Olga Raņševa",1025,151
1,"LKS",10,"Arvīds Rubīns",953,171
1,"LKS",11,"Sergejs Lavrenovs",1126,161
1,"LKS",12,"Sofja Ivočkina",955,159
1,"LKS",13,"Sergejs Solovjovs",1108,134
1,"LKS",14,"Inna Seļgicka",914,161
1,"LKS",15,"Aleksandrs Baranovskis",1103,141
1,"LKS",16,"Pāvels Prozors",1027,147
2,"JKP",1,"Ilga Šuplinska",2026,549
2,"JKP",2,"Andris Kazinovskis",1352,842
2,"JKP",3,"Pēteris Aglonietis",1064,594
2,"JKP",4,"Anita Strapcāne",931,778
2,"JKP",5,"Juris Rancāns",1246,457
2,"JKP",6,"Anželika Jurševica",583,660
2,"JKP",7,"Jānis Auziņš",707,531
2,"JKP",8,"Dainis Skrūzmanis",568,541
2,"JKP",9,"Aldis Brūvers",511,562
2,"JKP",10,"Aigars Bukšs",714,551
2,"JKP",11,"Edgars Sproģis",455,542
2,"JKP",12,"Didzis Brants",335,598
2,"JKP",13,"Jānis Strods",576,531
2,"JKP",14,"Otto Lodiņš",314,655
2,"JKP",15,"Eduards Brūniņš",337,601
2,"JKP",16,"Edmunds Griģis",334,629
2,"JKP",17,"Margarita Kolosova",626,785
3,"Ricib",1,"Tamāra Meļņikova",36,13
3,"Ricib",2,"Aleksandrs Alehnovičs",29,8
3,"Ricib",3,"Aleksandrs Mihailovs",28,12
3,"Ricib",4,"Nataļja Fjodorova",19,13
3,"Ricib",5,"Ruslans Kovaļovs",18,14
3,"Ricib",6,"Daina Amosova",22,10
3,"Ricib",7,"Anna Ņešpore",10,12
3,"Ricib",8,"Jurijs Morozovs",16,11
3,"Ricib",9,"Ilga Raščevska",10,13
3,"Ricib",10,"Aleksandrs Saško",15,11
3,"Ricib",11,"Valērijs Meļkovs",14,12
3,"Ricib",12,"Viktorija Niedra",10,14
3,"Ricib",13,"Arturs Vabaļs",11,14
4,"NA",1,"Edmunds Teirumnieks",1511,244
4,"NA",2,"Inese Laizāne",774,349
4,"NA",3,"Arnis Slobožaņins",576,377
4,"NA",4,"Māris Igavens",405,345
4,"NA",5,"Marika Zeimule",349,312
4,"NA",6,"Jāzeps Korsaks",870,305
4,"NA",7,"Aija Mežale",297,338
4,"NA",8,"Andrejs Faibuševičs",330,338
4,"NA",9,"Līga Pennere",185,333
4,"NA",10,"Daina Bordovska",170,323
4,"NA",11,"Solveta Logina",209,308
4,"NA",12,"Anda Leikuma",233,319
4,"NA",13,"Aldis Tripans",191,310
4,"NA",14,"Santa Pērkone",219,327
4,"NA",15,"Andrejs Vanags",241,292
4,"NA",16,"Arvīds Ratnieks",252,324
4,"NA",17,"Kristīne Volkoviča",183,323
5,"Progr",1,"Agnese Logina",152,39
5,"Progr",2,"Gunita Vanaga",165,41
5,"Progr",3,"Toms Trasūns",83,40
5,"Progr",4,"Inta Ruskule",106,28
5,"Progr",5,"Valdis Kudiņš",104,31
5,"Progr",6,"Roberts Portnojs",83,34
5,"Progr",7,"Mārtiņš Pabērzs",76,37
5,"Progr",8,"Edgars Labsvīrs",88,31
5,"Progr",9,"Leons Tutiņš",65,37
5,"Progr",10,"Gusts Kossovičs",58,42
5,"Progr",11,"Edgars Staltmanis",73,31
6,"Centr",1,"Georgijs Sokolovskis",41,17
6,"Centr",2,"Māris Barkāns",48,16
7,"LSDSP",1,"Daiga Ceipiniece",79,13
7,"LSDSP",2,"Silvija Igaune",22,23
7,"LSDSP",3,"Malda Kristovska",21,19
7,"LSDSP",4,"Jolanta Smane",22,21
7,"LSDSP",5,"Jānis Benislavskis",25,37
7,"LSDSP",6,"Madara Sondore",26,23
7,"LSDSP",7,"Juris Strušels",26,27
7,"LSDSP",8,"Inese Vīča",19,23
7,"LSDSP",9,"Andrejs Justs",33,21
7,"LSDSP",10,"Deniss Šeinovs",14,25
7,"LSDSP",11,"Oļegs Volkovs",20,25
7,"LSDSP",12,"Anastasija Tkačuka",17,26
8,"NSL",1,"Jānis Valtervitenheims",116,64
8,"NSL",2,"Tālis Korlašs",134,57
8,"NSL",3,"Raivis Nikolajevs",68,62
8,"NSL",4,"Žanis Nikolaičenko",69,62
8,"NSL",5,"Jolanta Jonikāne",67,57
8,"NSL",6,"Dainis Narnickis",96,41
8,"NSL",7,"Ivars Veliks",91,51
8,"NSL",8,"Sandra Ļahova",56,58
8,"NSL",9,"Romualds Maculevičs",58,62
8,"NSL",10,"Jurijs Kopasovs",56,63
8,"NSL",11,"Ilmārs Suhockis",64,53
8,"NSL",12,"Uldis Mortuzāns",61,53
8,"NSL",13,"Marika Cakule",70,53
8,"NSL",14,"Andrejs Kitovs",59,59
8,"NSL",15,"Irina Jegorova",56,60
8,"NSL",16,"Ivars Kekers",52,55
8,"NSL",17,"Ainārs Pudulis",75,49
9,"Sask",1,"Jānis Krišāns",4772,1298
9,"Sask",2,"Inga Goldberga",7232,975
9,"Sask",3,"Ivars Zālītis",3133,1202
9,"Sask",4,"Ivans Ribakovs",7065,1086
9,"Sask",5,"Jānis Tutins",4263,1155
9,"Sask",6,"Vladimirs Nikonovs",4511,1228
9,"Sask",7,"Raimonds Rubiks",3851,1185
9,"Sask",8,"Aleksandrs Jakimovs",3730,1082
9,"Sask",9,"Jeļena Lazareva",3334,1021
9,"Sask",10,"Edgars Kucins",4573,929
9,"Sask",11,"Olga Belova",3326,1043
9,"Sask",12,"Vladimirs Čuprovs",2549,1057
9,"Sask",13,"Andrejs Bondarevs",2850,951
9,"Sask",14,"Einārs Jurkevičs",2439,1006
9,"Sask",15,"Raimonds Kalvišs",2615,1051
9,"Sask",16,"Modris Karpovs",2472,1037
9,"Sask",17,"Viktors Jasiņavičs",2716,1064
10,"A-PAR",1,"Mārtiņš Bondars",1605,567
10,"A-PAR",2,"Inta Brence",456,283
10,"A-PAR",3,"Juris Viņķelis",360,422
10,"A-PAR",4,"Iveta Ratinīka",407,280
10,"A-PAR",5,"Rasma Jēkabsone",366,259
10,"A-PAR",6,"Jānis Viļums",428,268
10,"A-PAR",7,"Raimonds Lazda",188,275
10,"A-PAR",8,"Guntis Trupavnieks",231,301
10,"A-PAR",9,"Ainita Kamša",154,292
10,"A-PAR",10,"Ansis Ansbergs",202,269
10,"A-PAR",11,"Māris Puriņš",156,262
10,"A-PAR",12,"Tālis Biezais",142,294
10,"A-PAR",13,"Gaits Lapsa",146,295
10,"A-PAR",14,"Mila Orlova",139,347
10,"A-PAR",15,"Līna Dzērvāne",142,313
10,"A-PAR",16,"Anna Cīrule",176,318
10,"A-PAR",17,"Aivars Tiesnesis",349,285
11,"LRA",1,"Juris Viļums",1291,316
11,"LRA",2,"Juris Vucāns",848,260
11,"LRA",3,"Silvija Šimfa",242,425
11,"LRA",4,"Guntis Rasims",961,278
11,"LRA",5,"Valdis Lauskis",304,349
11,"LRA",6,"Toms Vorkalis",461,315
11,"LRA",7,"Ruta Cibule",312,351
11,"LRA",8,"Kristaps Averjanovs",188,368
11,"LRA",9,"Artis Logins",234,319
11,"LRA",10,"Valdis Labinskis",241,356
11,"LRA",11,"Sanita Zunda",248,325
11,"LRA",12,"Aleksandrs Narnickis",200,349
11,"LRA",13,"Rūdolfs Beitāns",185,339
11,"LRA",14,"Vitālijs Maizītis",136,327
11,"LRA",15,"Edgars Tjarve",226,352
11,"LRA",16,"Rasma Igaune",481,333
11,"LRA",17,"Māris Rumaks",250,344
12,"LNacio",1,"Vladislavs Bautris",41,12
12,"LNacio",2,"Astrīda Skrinda",32,8
12,"LNacio",3,"Danuta Ļevčenko",23,13
12,"LNacio",4,"Vilhelms Klincāns",23,12
12,"LNacio",5,"Gunārs Tabūns",29,12
12,"LNacio",6,"Leonīds Buklovskis",22,14
12,"LNacio",7,"Solveiga Vecziediņa",26,15
13,"JV",1,"Aldis Adamovičs",2016,427
13,"JV",2,"Līvija Plavinska",559,624
13,"JV",3,"Inguna Kokina",422,675
13,"JV",4,"Andris Badūns",484,685
13,"JV",5,"Alīna Gendele",717,544
13,"JV",6,"Maruta Castrova",259,681
13,"JV",7,"Arvīds Soldāns",429,672
13,"JV",8,"Sarmīte Šaicāne",246,638
13,"JV",9,"Dainis Molodcovs",190,678
13,"JV",10,"Māris Garkuls",205,645
13,"JV",11,"Jānis Kupris",333,662
13,"JV",12,"Helēna Piziča",293,680
13,"JV",13,"Ivars Stivriņš",199,626
13,"JV",14,"Jevdokija Šlivka",156,710
13,"JV",15,"Intars Mežinieks",296,624
13,"JV",16,"Renārs Vabals",180,643
13,"JV",17,"Lauris Pastars",733,624
14,"Altern",1,"Jānis Kuzins",37,15
14,"Altern",2,"Artūrs Malta",31,12
14,"Altern",3,"Edvards Beitāns",24,14
15,"KPV",1,"Roberts Spručs",1188,526
15,"KPV",2,"Romualds Siliņš",803,523
15,"KPV",3,"Ainārs Belovs",639,592
15,"KPV",4,"Raimonds Nipers",828,545
15,"KPV",5,"Anatolijs Marhilevičs",596,600
15,"KPV",6,"Sergejs Šapovalovs",1345,510
15,"KPV",7,"Aigars Trušelis",608,543
15,"KPV",8,"Ivars Griķis",598,535
15,"KPV",9,"Dmitrijs Lukašenoks",632,618
15,"KPV",10,"Janīna Kursīte",1454,539
15,"KPV",11,"Jānis Zakarīts",731,479
15,"KPV",12,"Santa Jelinska",536,486
15,"KPV",13,"Einārs Bistrovs",485,520
15,"KPV",14,"Staņislavs Ančevskis",451,570
15,"KPV",15,"Jānis Urbāns",547,512
15,"KPV",16,"Inese Siliņa-Petrova",530,492
15,"KPV",17,"Vladislavs Čerņavskis",497,591
16,"ZZS",1,"Jānis Dūklavs",3716,1535
16,"ZZS",2,"Jānis Trupovnieks",1683,1562
16,"ZZS",3,"Līga Kozlovska",1587,1532
16,"ZZS",4,"Jānis Klaužs",1673,1539
16,"ZZS",5,"Janīna Jalinska",1802,1429
16,"ZZS",6,"Arvīds Barševskis",1581,1416
16,"ZZS",7,"Pēteris Rožinskis",1016,1460
16,"ZZS",8,"Ināra Sokirka",541,1570
16,"ZZS",9,"Zigmārs Erts",665,1492
16,"ZZS",10,"Reinis Līcis",655,1473
16,"ZZS",11,"Andris Bačuks",605,1453
16,"ZZS",12,"Viktorija Lene",771,1487
16,"ZZS",13,"Ērika Ruskule",684,1434
16,"ZZS",14,"Valerijs Kozlovs",631,1528
16,"ZZS",15,"Viktors Indričāns",636,1478
16,"ZZS",16,"Sergejs Blagoveščenskis",527,1682
16,"ZZS",17,"Juris Guntis Vjakse",758,1592
